date,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF,team,opp,loc,age,rookie,regpost
195506121,4,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195506122,4,9,4,4,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195506130,4,9,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,MLN,CIN,0,30,0,1,0
195506140,4,9,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195506150,4,9,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195506160,4,9,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,1,30,0,1,0
195506170,4,7,5,5,4,0,1,2,0,3,0,0,1,0,1,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195506180,4,9,5,5,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,MLN,NY1,1,30,0,1,0
195506190,4,9,4,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,MLN,NY1,1,30,0,1,0
195506200,4,9,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195506210,4,9,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195506220,4,9,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,1,30,0,1,0
195506240,4,9,4,3,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,MLN,BRO,1,30,0,1,0
195506250,4,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,MLN,BRO,1,30,0,1,0
195506260,4,9,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,MLN,BRO,1,30,0,1,0
195506280,4,9,4,4,2,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195506290,4,9,5,5,4,0,4,3,0,2,0,0,2,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195506300,4,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,1,30,0,1,0
195507010,4,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,MLN,CIN,0,30,0,1,0
195507020,4,9,5,5,3,0,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,MLN,CIN,0,30,0,1,0
195507030,4,9,5,4,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,MLN,CIN,0,30,0,1,0
195507041,4,9,4,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,MLN,SLN,1,30,0,1,0
195507042,4,9,5,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,SLN,1,30,0,1,0
195507060,4,9,5,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195507070,4,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CHN,0,30,0,1,0
195507081,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195507082,4,4,4,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195507090,4,4,5,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195507101,4,4,4,4,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,MLN,CIN,1,30,0,1,0
195507102,4,4,4,4,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,MLN,CIN,1,30,0,1,0
195507140,4,4,4,2,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195507150,4,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PHI,0,30,0,1,0
195507160,4,4,5,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195507171,4,4,5,3,1,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,MLN,NY1,0,30,0,1,0
195507172,4,4,5,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195507180,4,4,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MLN,NY1,0,30,0,1,0
195507190,4,4,8,8,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
195507200,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLN,PIT,0,30,0,1,0
